,Stock Price,Strike Price,Time to Maturity,Risk-Free Rate,Volatility,Option Type,Option Price
0,155.5669,213.0548,0.0208,0.04,0.25,call,0.0
1,168.4815,174.2062,0.0208,0.04,0.25,call,0.6172
2,211.3303,182.1067,0.0208,0.04,0.25,call,29.3753
3,234.6733,54.828,0.0208,0.04,0.25,call,179.891
4,246.5041,107.0956,0.0208,0.04,0.25,call,139.4977
5,122.268,250.2828,0.0208,0.04,0.25,call,0.0
6,258.8778,165.8901,0.0208,0.04,0.25,call,93.1259
7,220.328,179.4662,0.0208,0.04,0.25,call,41.0113
8,85.1148,63.71,0.0208,0.04,0.25,call,21.4579
9,130.3353,191.1735,0.0208,0.04,0.25,call,0.0
10,142.9833,260.7179,0.0208,0.04,0.25,call,0.0
11,52.8906,64.662,0.0208,0.04,0.25,call,0.0
12,190.0166,113.3073,0.0208,0.04,0.25,call,76.8037
13,288.3654,120.7499,0.0208,0.04,0.25,call,167.716
14,88.0938,258.5207,0.0208,0.04,0.25,call,0.0
15,215.4837,206.5306,0.0208,0.04,0.25,call,9.5528
16,290.9687,261.5269,0.0208,0.04,0.25,call,29.6638
17,86.2542,182.4287,0.0208,0.04,0.25,call,0.0
18,54.2932,238.6477,0.0208,0.04,0.25,call,0.0
19,270.1524,296.5869,0.0208,0.04,0.25,call,0.0167
20,223.9757,198.2241,0.0208,0.04,0.25,call,25.9173
21,206.7772,280.3098,0.0208,0.04,0.25,call,0.0
22,122.8159,127.2844,0.0208,0.04,0.25,call,0.3997
23,171.9181,91.5906,0.0208,0.04,0.25,call,80.4038
24,222.7503,200.2041,0.0208,0.04,0.25,call,22.7161
25,240.6779,201.6588,0.0208,0.04,0.25,call,39.187
26,107.3944,115.4865,0.0208,0.04,0.25,call,0.035
27,73.1183,261.0511,0.0208,0.04,0.25,call,0.0
28,87.1961,66.4235,0.0208,0.04,0.25,call,20.8279
29,281.5395,96.2472,0.0208,0.04,0.25,call,185.3725
30,284.2521,78.102,0.0208,0.04,0.25,call,206.2151
31,198.785,86.5781,0.0208,0.04,0.25,call,112.279
32,72.1429,128.8675,0.0208,0.04,0.25,call,0.0
33,226.49,217.9868,0.0208,0.04,0.25,call,9.2528
34,158.1631,187.1968,0.0208,0.04,0.25,call,0.0
35,289.8503,146.1947,0.0208,0.04,0.25,call,143.7774
36,221.1097,156.0692,0.0208,0.04,0.25,call,65.1705
37,63.4151,96.6263,0.0208,0.04,0.25,call,0.0
38,140.3416,104.3707,0.0208,0.04,0.25,call,36.0579
39,53.0266,102.8984,0.0208,0.04,0.25,call,0.0
40,216.018,53.2852,0.0208,0.04,0.25,call,162.7772
41,74.6136,86.3117,0.0208,0.04,0.25,call,0.0
42,133.905,196.2864,0.0208,0.04,0.25,call,0.0
43,111.4585,84.6578,0.0208,0.04,0.25,call,26.8712
44,191.635,78.5898,0.0208,0.04,0.25,call,113.1107
45,270.3347,156.9906,0.0208,0.04,0.25,call,113.4748
46,281.8351,195.472,0.0208,0.04,0.25,call,86.5259
47,200.009,176.2801,0.0208,0.04,0.25,call,23.876
48,205.2944,122.8874,0.0208,0.04,0.25,call,82.5094
49,210.1666,225.04,0.0208,0.04,0.25,call,0.0933
50,229.4544,123.7724,0.0208,0.04,0.25,call,105.7852
51,75.5044,235.9478,0.0208,0.04,0.25,call,0.0
52,82.0019,108.8932,0.0208,0.04,0.25,call,0.0
53,155.0156,67.9846,0.0208,0.04,0.25,call,87.0877
54,119.5638,88.4577,0.0208,0.04,0.25,call,31.1798
55,228.2074,134.9733,0.0208,0.04,0.25,call,93.3465
56,174.8895,237.833,0.0208,0.04,0.25,call,0.0
57,269.9186,171.5759,0.0208,0.04,0.25,call,98.4856
58,137.7301,51.29,0.0208,0.04,0.25,call,86.4828
59,177.1247,239.1357,0.0208,0.04,0.25,call,0.0
60,74.1244,161.8753,0.0208,0.04,0.25,call,0.0
61,211.6164,156.2554,0.0208,0.04,0.25,call,55.4912
62,77.2144,106.2538,0.0208,0.04,0.25,call,0.0
63,166.864,67.7885,0.0208,0.04,0.25,call,99.132
64,266.9256,227.2409,0.0208,0.04,0.25,call,39.874
65,243.9004,73.6717,0.0208,0.04,0.25,call,170.2901
66,198.3537,197.9164,0.0208,0.04,0.25,call,3.1621
67,280.2994,269.6224,0.0208,0.04,0.25,call,11.5828
68,164.2082,276.4587,0.0208,0.04,0.25,call,0.0
69,141.8959,259.362,0.0208,0.04,0.25,call,0.0
70,194.4934,116.6974,0.0208,0.04,0.25,call,77.8932
71,183.9758,101.3345,0.0208,0.04,0.25,call,82.7257
72,235.0005,167.5305,0.0208,0.04,0.25,call,67.6096
73,174.5264,180.9278,0.0208,0.04,0.25,call,0.5597
74,297.3592,106.5589,0.0208,0.04,0.25,call,190.8891
75,267.73,141.5776,0.0208,0.04,0.25,call,126.2704
76,99.4883,265.427,0.0208,0.04,0.25,call,0.0
77,118.5701,105.8649,0.0208,0.04,0.25,call,12.7942
78,134.1993,281.7093,0.0208,0.04,0.25,call,0.0
79,231.641,203.9836,0.0208,0.04,0.25,call,27.8277
80,172.4339,91.9129,0.0208,0.04,0.25,call,80.5975
81,172.4187,194.3952,0.0208,0.04,0.25,call,0.0008
82,299.1977,194.4782,0.0208,0.04,0.25,call,104.8814
83,273.0189,67.4338,0.0208,0.04,0.25,call,205.6413
84,188.0933,242.1369,0.0208,0.04,0.25,call,0.0
85,294.0733,75.483,0.0208,0.04,0.25,call,218.6532
86,207.6463,108.207,0.0208,0.04,0.25,call,99.5294
87,83.5206,105.9907,0.0208,0.04,0.25,call,0.0
88,91.9634,100.9688,0.0208,0.04,0.25,call,0.0057
89,251.9187,294.9071,0.0208,0.04,0.25,call,0.0
90,290.5319,182.252,0.0208,0.04,0.25,call,108.4318
91,53.6066,87.2729,0.0208,0.04,0.25,call,0.0
92,111.9692,64.7457,0.0208,0.04,0.25,call,47.2774
93,52.9347,116.4097,0.0208,0.04,0.25,call,0.0
94,255.2792,209.5856,0.0208,0.04,0.25,call,45.8681
95,115.8506,161.9783,0.0208,0.04,0.25,call,0.0
96,286.962,63.8456,0.0208,0.04,0.25,call,223.1696
97,264.7704,144.679,0.0208,0.04,0.25,call,120.2119
98,131.9907,95.1184,0.0208,0.04,0.25,call,36.9515
99,174.1825,173.3049,0.0208,0.04,0.25,call,3.0441
100,86.0467,91.7316,0.0208,0.04,0.25,call,0.0518
101,85.9849,227.1985,0.0208,0.04,0.25,call,0.0
102,57.0881,194.2294,0.0208,0.04,0.25,call,0.0
103,216.4752,179.5392,0.0208,0.04,0.25,call,37.0855
104,92.3679,235.4298,0.0208,0.04,0.25,call,0.0
105,292.3411,266.5901,0.0208,0.04,0.25,call,25.9889
106,85.3404,166.8447,0.0208,0.04,0.25,call,0.0
107,253.633,279.6773,0.0208,0.04,0.25,call,0.0107
108,83.793,89.3745,0.0208,0.04,0.25,call,0.0488
109,261.435,134.6791,0.0208,0.04,0.25,call,126.8681
110,298.0203,115.6621,0.0208,0.04,0.25,call,182.4546
111,185.9133,106.222,0.0208,0.04,0.25,call,79.7798
112,160.2053,62.8668,0.0208,0.04,0.25,call,97.3908
113,205.4377,135.3599,0.0208,0.04,0.25,call,70.1906
114,231.3013,251.5561,0.0208,0.04,0.25,call,0.0316
115,89.0842,89.8367,0.0208,0.04,0.25,call,0.9767
116,162.2651,271.4953,0.0208,0.04,0.25,call,0.0
117,62.8034,244.3389,0.0208,0.04,0.25,call,0.0
118,109.1222,55.2749,0.0208,0.04,0.25,call,53.8933
119,209.9905,77.6078,0.0208,0.04,0.25,call,132.4474
120,59.6565,280.4425,0.0208,0.04,0.25,call,0.0
121,231.8488,180.431,0.0208,0.04,0.25,call,51.5681
122,193.0482,99.5992,0.0208,0.04,0.25,call,93.532
123,298.3284,138.4761,0.0208,0.04,0.25,call,159.9677
124,253.2203,55.8363,0.0208,0.04,0.25,call,197.4305
125,154.2436,138.7281,0.0208,0.04,0.25,call,15.6334
126,143.7048,256.106,0.0208,0.04,0.25,call,0.0
127,92.8351,281.1339,0.0208,0.04,0.25,call,0.0
128,174.3664,129.6875,0.0208,0.04,0.25,call,44.7869
129,281.2469,238.1664,0.0208,0.04,0.25,call,43.2789
130,148.4863,123.0672,0.0208,0.04,0.25,call,25.5216
131,276.5774,174.4717,0.0208,0.04,0.25,call,102.251
132,221.4102,88.7196,0.0208,0.04,0.25,call,132.7644
133,132.0449,108.189,0.0208,0.04,0.25,call,23.946
134,142.0692,56.5751,0.0208,0.04,0.25,call,85.5412
135,50.9375,171.6805,0.0208,0.04,0.25,call,0.0
136,149.888,212.2934,0.0208,0.04,0.25,call,0.0
